PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities
Optimal ultra luxury builder floors,"3, 4 BHK Independent Floor in South City 1, Gurgaon","['HUDA City Centre Metro Station', 'NH-48 (Delhi-Jaipur Expressway)']","{'HUDA City Centre Metro Station': '0.5 KM', 'NH-48 (Delhi-Jaipur Expressway)': '0.5 KM'}",https://www.99acres.com/optimal-ultra-luxury-builder-floors-south-city-1-gurgaon-npxid-r411007,"{'3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,200 - 1,500 sq.ft.', 'price-range': '₹ 1.75 - 2.4 Cr'}, '4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '2,200 - 2,900 sq.ft.', 'price-range': '₹ 3 - 4.4 Cr'}}","['Visitors Parking', 'Piped Gas', 'Gated Community', 'Landscape Garden', 'Maintenance Staff']"
Salcon The Verandas,"4, 5, 6 BHK Apartment in Sector 54, Gurgaon","['YES Bank', 'Axis Bank', 'Centrum Plaza', 'Shoppers Stop', 'State Bank of India']","{'YES Bank': '0.35 KM', 'Axis Bank': '0.3 KM', 'Centrum Plaza': '1.0 KM', 'Shoppers Stop': '1.5 KM', 'State Bank of India': '0.65 KM', 'Suncity Market': '1.1 KM', 'Sanar International Hospital': '1.7 KM', 'Govt. Model Sanskriti Primary School': '1.0 KM', 'Cyber \u200b\u200bPark': '0.65 KM', 'IILM School of Management': '1.3 KM', 'Shree Deep Petrol Pump': '3.1 KM', 'Gurugram City Bus Depot': '1.2 KM', 'Starbucks': '0.13 KM', 'Central Plaza Mall': '2.1 KM', 'Khatu Shyam Mandir': '4.7 KM'}",https://www.99acres.com/salcon-the-verandas-sector-54-gurgaon-npxid-r26644,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '4,495 - 4,645 sq.ft.', 'price-range': '₹ 9.1 - 9.4 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '5,330 - 5,500 sq.ft.', 'price-range': '₹ 13 - 13.41 Cr'}, '6 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '6,068 - 6,425 sq.ft.', 'price-range': '₹ 15 - 15.88 Cr'}}","['Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Salon', 'Restaurant', 'Spa', 'Grocery Shop', 'Squash Court', 'Lawn Tennis Court']"
BPTP Park Generations,"3 BHK Apartment in Sector 37D, Gurgaon","['Suncity School', 'Dwarka Expressway', 'Gurugram Road', 'Sunrise University', 'Sethi Hospital']","{'Suncity School': '0.75 KM', 'Dwarka Expressway': '1.6 KM', 'Gurugram Road': '1.3 KM', 'Sunrise University': '2.7 KM', 'Sethi Hospital': '5.2 KM', 'Gurgaon Dreamz Mall': '6.2 KM', 'Gurugram Railway Station': '7.8 KM', 'Infinity Business Park': '9.1 KM', 'Indira Gandhi International Airport': '25.0 KM', 'Nehru Stadium': '6.2 KM'}",https://www.99acres.com/bptp-park-generations-sector-37d-gurgaon-npxid-r1243,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,470 - 1,870 sq.ft.', 'price-range': '₹ 91.14 L - 1.16 Cr'}}","['Doctor on Call', 'Manicured Garden', 'Automated Car Wash', 'Clinic', 'Car wash area', 'Swimming Pool', 'Medical Centre', 'School', 'Volley Ball Court']"
Zara Aavaas,"1, 2, 3 BHK Apartment in Sector 104, Gurgaon","['Mps World School', 'Dwarka Expressway', 'Tomar Hospital', 'HUDA Mini Golf Course', 'F9 Go Karting Gurgaon']","{'Mps World School': '0.8 KM', 'Dwarka Expressway': '3.3 KM', 'Tomar Hospital': '3.5 KM', 'HUDA Mini Golf Course': '6.8 KM', 'F9 Go Karting Gurgaon': '6.9 KM', ""Oyster's Water Park"": '9.4 KM', 'Taj/Vivanta Hotel Group': '9.6 KM', 'DPG Group of Institutions': '10.9 KM', 'Ardee Mall': '11.4 KM', 'Indira Gandhi International Airport': '20.2 KM'}",https://www.99acres.com/zara-aavaas-sector-104-gurgaon-npxid-r170643,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '301.28 sq.ft.', 'price-range': 'Price on Request'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '497.98 sq.ft.', 'price-range': 'Price on Request'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '763 sq.ft.', 'price-range': 'Price on Request'}}","['Swimming Pool', 'Reading Lounge', 'Card Room', 'Sauna', 'Steam Room', 'Cafeteria', 'Billiards', 'Shopping Centre', 'Basketball Court']"
Yashika 104,"1, 2, 3 BHK Apartment in Sector 104, Gurgaon","['Delhi Public School (DPS)', 'Cambridge Montessori Preschool', 'Shree Balaji College', 'Sunrise University', 'New Water Pond']","{'Delhi Public School (DPS)': '0.75 KM', 'Cambridge Montessori Preschool': '2.6 KM', 'Shree Balaji College': '1.0 KM', 'Sunrise University': '3.7 KM', 'New Water Pond': '0.4 KM', ""Sun's Spa"": '0.079 KM', 'Cool Deck Coffee': '1.6 KM', 'Gurgaon Dreamz Mall': '4.7 KM', 'Shivai Hospital': '1.9 KM', 'Solitaire Banquet Hall': '3.2 KM', 'Huda Park': '3.1 KM', 'Museum of Folk and Tribal Art': '4.2 KM', 'Ajit Stadium Dhanwapur': '0.7 KM', 'Indira Gandhi International Airport': '19.4 KM'}",https://www.99acres.com/yashika-104-sector-104-gurgaon-npxid-r393813,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '583.61 sq.ft.', 'price-range': 'Price on Request'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '557.78 sq.ft.', 'price-range': 'Price on Request'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '692.12 sq.ft.', 'price-range': 'Price on Request'}}","['Wi-Fi Connectivity', 'Library', 'Cricket Pitch', 'Multipurpose Court', 'Community Hall', 'Yoga/Meditation Area', 'Gated Community', 'Gymnasium', ""Children's Play Area""]"
Breez Global Heights 89,"2, 3 BHK Apartment in Sector 89, Gurgaon","['Sector 86 Road', 'Dwarka Expressway', 'Euro International School', 'Garhi Harsaru Junction', 'Pushpanjali Hospital']","{'Sector 86 Road': '0.55 KM', 'Dwarka Expressway': '3.2 KM', 'Euro International School': '3.3 KM', 'Garhi Harsaru Junction': '4.7 KM', 'Pushpanjali Hospital': '12.6 KM', 'Omaxe Mall': '15.7 KM', 'Gurugram University': '16.4 KM', 'HUDA Metro Station': '18.8 KM', 'Indira Gandhi International Airport': '28.6 KM'}",https://www.99acres.com/breez-global-heights-89-sector-89-gurgaon-npxid-r389823,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '524.75 sq.ft.', 'price-range': '₹ 30.06 L'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '645.3 sq.ft.', 'price-range': '₹ 38 L'}}","['Foosball', 'Flower Garden', 'Aerobics Centre', 'Card Room', 'Skating Rink', 'Pool Table', 'Fountain', 'Multipurpose Court', 'Power Back up Lift']"
Zara Rossa,"2, 3 BHK Apartment in Sector 112, Gurgaon","[""Rion's Hospital"", 'Nazafgarh - Gurgaon Road', 'Dwarka Expressway', 'GEMS International School', 'The NorthCap University']","{""Rion's Hospital"": '2.3 KM', 'Nazafgarh - Gurgaon Road': '2.5 KM', 'Dwarka Expressway': '2.8 KM', 'GEMS International School': '6.2 KM', 'The NorthCap University': '6.5 KM', 'Dwarka Sector 21 Metro Station': '9.0 KM', 'Pacific D21 Mall': '9.1 KM', 'Indira Gandhi International Airport': '16.7 KM'}",https://www.99acres.com/zara-rossa-sector-112-gurgaon-npxid-r268975,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '705 sq.ft.', 'price-range': 'Price on Request'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '773 sq.ft.', 'price-range': 'Price on Request'}}","['Multipurpose Court', 'Power Back up Lift', 'Community Hall', 'Basketball Court', 'Badminton Court', 'Rain Water Harvesting', '24x7 Security', 'Club House', '24/7 Power Backup']"
Alpha Corp GurgaonOne 84,"2, 3, 4 BHK Apartment in Sector 84, Gurgaon","['Cambridge Pre-School', 'Euro International School', 'Society Park', 'Genesis Hospital', 'Delhi Public School (DPS)']","{'Cambridge Pre-School': '0.55 KM', 'Euro International School': '1.1 KM', 'Society Park': '1.4 KM', 'Genesis Hospital': '0.9 KM', 'Delhi Public School (DPS)': '0.65 KM', 'HDFC Bank': '2.7 KM', 'Raheja Market': '1.7 KM', 'Sapphire Mall': '2.1 KM', 'INXT High Street': '3.0 KM', 'Dishoom Cinemas': '4.1 KM'}",https://www.99acres.com/alpha-corp-gurgaonone-84-sector-84-gurgaon-npxid-r5096,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,270 sq.ft.', 'price-range': '₹ 84 L'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,963 sq.ft.', 'price-range': '₹ 1.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,434 sq.ft.', 'price-range': '₹ 2.25 Cr'}}","['Swimming Pool', 'Medical Centre', 'Flower Garden', 'Aerobics Centre', 'Squash Court', 'Gazebo', 'Property Staff', 'Billiards', 'Sun Deck']"
Krrish Florence Estate,"3 BHK Apartment in Sector 70, Gurgaon","['The Vivekananda School', 'Suraj PG Degree College, Sec -75', 'Dr Naveen Chawla General Physician', 'Omaxe Mall', 'Park Hospital']","{'The Vivekananda School': '0.6 KM', 'Suraj PG Degree College, Sec -75': '2.4 KM', 'Dr Naveen Chawla General Physician': '3.5 KM', 'Omaxe Mall': '3.7 KM', 'Park Hospital': '4.8 KM', 'NH248A': '6.9 KM', 'Indira Gandhi International Airport': '25.8 KM'}",https://www.99acres.com/krrish-florence-estate-sector-70-gurgaon-npxid-r37698,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,865 - 2,125 sq.ft.', 'price-range': '₹ 1.25 - 1.45 Cr'}}","['Infinity Pool', 'Swimming Pool', 'Laundry', 'School', 'Property Staff', 'Shopping Centre', 'Lawn Tennis Court', 'Video Door Security', 'Multipurpose Court']"
Tulip Purple,"4 BHK Apartment in Sector 69, Gurgaon","['Indus World School', 'Omaxe Mall', 'Park Hospital', 'Gurugram University', 'Sohna Road']","{'Indus World School': '0.75 KM', 'Omaxe Mall': '4.2 KM', 'Park Hospital': '6.1 KM', 'Gurugram University': '7.2 KM', 'Sohna Road': '7.7 KM', 'Indira Gandhi International Airport': '23.4 KM', 'Infinity Business Park': '9.4 KM', 'Gurugram Railway Station': '12.8 KM', 'Sector 55-56 Metro Station': '9.2 KM', 'Park inn': '9.3 KM', ""Oyster's Water Park"": '11.6 KM', 'Nehru Stadium': '8.6 KM'}",https://www.99acres.com/tulip-purple-sector-69-gurgaon-npxid-r37138,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,400 sq.ft.', 'price-range': '₹ 1.9 Cr'}}","['Bus Shelter', 'Swimming Pool', 'Lawn Tennis Court', '24/7 Power Backup', 'Gated Community', 'Gymnasium', '24/7 Water Supply', 'Landscape Garden', ""Children's Play Area""]"
